Name,Accuracy,Precision,Recall,F1_score,Time_Taken
Random Forest,0.5853920515574651,0.5272107435973669,0.6926101228475319,0.5145809729731942,233.81907773017883
MLP Classifier,0.6584317937701396,0.6471501579897376,0.6553043091358411,0.6489881269402177,310.59311151504517
Support Vector,0.6874328678839957,0.6683409685577986,0.6927866746075692,0.6747237816889063,184.39232540130615
Adaboost,0.6809881847475833,0.6729211860342125,0.6779556105709862,0.6739733734100012,689.7665755748749
SGD Classifier,0.5789473684210527,0.6096674317936132,0.6190970654000051,0.5776304882540869,0.8688147068023682
XG Boost,0.6519871106337272,0.6323200415707513,0.6520031147104607,0.6364808496967506,523.3189885616302
